"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-RE-PU-CGFAE-2025-002-2679","RE-PU-CGFAE-2025-002-2679-2025-06-10T15:49:56.244Z-compiled","RE-PU-CGFAE-2025-002-2679","RE-PU-CGFAE-2025-002-2679","CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA 20 VEHÍCULOS TIPO CAMIONETAS 4X2 EN CUMPLIMIENTO A LA VIGENCIA TECNOLÓGICA","complete","EC-RUC-1768017510001-2679","FAE COMANDO GENERAL","67606.76","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-30T16:30:00-05:00","2025-06-04T14:00:00-05:00","2025-06-04T14:00:00-05:00","4","2025-05-30T16:30:00-05:00","","","","TRUE","Plazo de Entrega,Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones","","2025-06-09T16:00:00-05:00","2025-06-09T16:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HEJCA-2025-152-87497","RE-PU-HEJCA-2025-152-87497-2025-06-20T17:01:42.174Z-compiled","RE-PU-HEJCA-2025-152-87497","RE-PU-HEJCA-2025-152-87497","ADQUISICIÓN ABEMACICLIB SOLIDO ORAL 150 MG","active","EC-RUC-0160017400001-87497","HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA","41502.72","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-21T18:00:00-05:00","2025-05-28T08:00:00-05:00","2025-05-28T08:00:00-05:00","6","2025-05-21T18:00:00-05:00","","","","","Otros Parámetros de Calificación","","2025-06-09T20:00:00-05:00","2025-06-09T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-ETAPA-2025-03-312203","RE-PU-ETAPA-2025-03-312203-2025-06-26T16:31:30.438Z-compiled","RE-PU-ETAPA-2025-03-312203","RE-PU-ETAPA-2025-03-312203","MANTENIMIENTO PREVENTIVO Y CORRECTIVO, REPARACIÓN Y PROVISIÓN DE REPUESTOS PARA LOS EQUIPOS ESPECIALES DE HIDROSUCCIÓN DE LA EMPRESAPÚBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE,ALCANTARILLADO Y SANEAMIENTO DE CUENCA - ETAPA EP","active","EC-RUC-0160050020001-312203","Empresa Pública Municipal de Telecomunicaciones, Agua Potable, Alcantarillado y Saneamiento de Cuenca ETAPA EP","399947.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-30T17:00:00-05:00","2025-06-09T09:00:00-05:00","2025-06-09T09:00:00-05:00","9","2025-05-30T17:00:00-05:00","","","","TRUE","Experiencia,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Garantía Técnica,Equipo Propuesto,Personal Técnico,Experiencia Personal Técnico","","2025-06-30T17:00:00-05:00","2025-06-30T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADGPA-2025-001-30745","RE-PU-GADGPA-2025-001-30745-2025-07-10T17:27:50.373Z-compiled","RE-PU-GADGPA-2025-001-30745","RE-PU-GADGPA-2025-001-30745","SERVICIO DE MANTENIMIENTO CORRECTIVO POR VIGENCIA TECNOLÓGICA QUE INCLUYE LA PROVISIÓN DE REPUESTOS PARA LAS TRES 3 FURGONETAS JAC VAN SUNRAY HFC6601K1H AC 2.7 4P 4X2 TM DIESEL PERTENECIENTES AL GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DEL AZUA","active","EC-RUC-0160000190001-30745","GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DEL AZUAY","49331.14","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-30T15:00:00-05:00","2025-06-05T12:00:00-05:00","2025-06-05T12:00:00-05:00","5","2025-05-30T15:00:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Personal Técnico,Experiencia Específica,Experiencia Personal Técnico","","2025-06-17T14:00:00-05:00","2025-06-17T14:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-CMFIEDM-2025-006-748941","RE-PU-CMFIEDM-2025-006-748941-2025-08-12T22:30:58.502Z-compiled","RE-PU-CMFIEDM-2025-006-748941","RE-PU-CMFIEDM-2025-006-748941","Insulina Ultrarápida Lispro Líquido Parenteral 100UI/ml caja x cartuchos / plumas","active","EC-RUC-1768186110001-748941","CENTRO MEDICO FAMILIAR INTEGRAL Y ESPECIALIDADES, DIALISIS LA MARISCAL","9328.80","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-05-22T10:00:00-05:00","2025-05-22T13:00:00-05:00","2025-05-22T13:00:00-05:00","","2025-05-22T10:00:00-05:00","","","","TRUE","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Garantía Técnica","","2025-05-26T16:30:00-05:00","2025-05-26T16:30:00-05:00","","1"
"ocds-5wno2w-RE-PU-IESSHGM-2025-01-57617","RE-PU-IESSHGM-2025-01-57617-2025-08-28T18:56:59.451Z-compiled","RE-PU-IESSHGM-2025-01-57617","RE-PU-IESSHGM-2025-01-57617","MANTENIMIENTOPREVENTIVO Y CORRECTIVO DEL TOMOGRAFO AXIALCOMPUTARIZADO MULTICORTE DE 16 CORTES MARCA SIEMENSMODELO SOMATON EMOTION SERIE 86545 DEL AREA DEIMAGENOLOGIA DEL HOSPITAL GENERAL MILAGRO","active","EC-RUC-0968560320001-57617","HOSPITAL GENERAL - MILAGRO","42156.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-30T12:00:00-05:00","2025-06-03T14:00:00-05:00","2025-06-03T14:00:00-05:00","4","2025-05-30T12:00:00-05:00","","","","","Plazo de Entrega,Otros Parámetros de Calificación,Cumplimiento Especificaciones,Indices Financieros,Personal Técnico,Experiencia Personal Técnico","","2025-06-09T12:00:00-05:00","2025-06-09T12:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-CBDMQ-2025-001-2525","RE-PU-CBDMQ-2025-001-2525-2025-07-22T17:04:38.864Z-compiled","RE-PU-CBDMQ-2025-001-2525","RE-PU-CBDMQ-2025-001-2525","OVERHAUL DE COMPONENTE HELICOPTERO A109K2 FCU Y ADQUISICION DE SISTEMA DE TRACKING DE VUELO Y TRANSMISION PRINCIPAL","active","EC-RUC-1768097950001-2525","CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO","784245.29","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-02T20:00:00-05:00","2025-06-10T10:00:00-05:00","2025-06-10T10:00:00-05:00","7","2025-06-02T20:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General","","2025-06-17T20:00:00-05:00","2025-06-17T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HCAM-2025-018-54651","RE-PU-HCAM-2025-018-54651-2025-07-15T16:57:58.923Z-compiled","RE-PU-HCAM-2025-018-54651","RE-PU-HCAM-2025-018-54651","Adquisición del medicamento EMICIZUMAB LIQUIDO PARENTERAL S.I. 150 MG/ML CJ X VIAL X 0,7 ML para la Unidad Técnica de Farmacia Hospitalaria.","active","EC-RUC-1768046450001-54651","HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN","305672.40","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-02T18:30:00-05:00","2025-06-09T08:00:00-05:00","2025-06-09T08:00:00-05:00","6","2025-06-02T18:30:00-05:00","","","","TRUE","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica","","2025-06-20T19:00:00-05:00","2025-06-20T19:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-DNCTSV-2025-001-2506","RE-PU-DNCTSV-2025-001-2506-2025-06-04T15:47:21.585Z-compiled","RE-PU-DNCTSV-2025-001-2506","RE-PU-DNCTSV-2025-001-2506","CONTRATACIÓN DEUN TALLER AUTORIZADO PARA EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR VIGENCIA TECNOLÓGICA PARALOS PATRULLEROS TIPO CAMIONETA DOBLE CABINA 4X4, PERTENECIENTES A LA DIRECCIÓN NACIONAL DE CONTROL DE TRÁNSITO Y SEGURIDAD VIAL","active","EC-RUC-1768049040001-2506","DIRECCION NACIONAL DE CONTROL DE TRANSITO Y SEGURIDAD VIAL","506995.08","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-27T10:35:00-05:00","2025-05-30T09:00:00-05:00","2025-05-30T09:00:00-05:00","2","2025-05-27T10:35:00-05:00","","","","","Experiencia,Cumplimiento Especificaciones,Equipo Propuesto,Personal Técnico,Experiencia Específica,Experiencia Personal Técnico","","2025-06-10T18:00:00-05:00","2025-06-10T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADCUMBARATZA-2025-006-110599","RE-PU-GADCUMBARATZA-2025-006-110599-2025-06-04T15:45:06.910Z-compiled","RE-PU-GADCUMBARATZA-2025-006-110599","RE-PU-GADCUMBARATZA-2025-006-110599","ADQUISICIÓN DE COMBUSTIBLE PARA MAQUINARIA PESADA Y MAQUINARIA MENOR DEL GAD PARROQUIAL DE CUMBARATZA","complete","EC-RUC-1960139030001-110599","GOBIERNO AUTONOMO PARROQUIAL RURAL DE CUMBARATZA","6.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-27T17:00:00-05:00","2025-05-29T17:00:00-05:00","2025-05-29T17:00:00-05:00","2","2025-05-27T17:00:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-06-03T17:59:00-05:00","2025-06-03T17:59:00-05:00","","1"
"ocds-5wno2w-RE-PU-IIIDE-2025-03-104585","RE-PU-IIIDE-2025-03-104585-2025-07-03T17:28:55.985Z-compiled","RE-PU-IIIDE-2025-03-104585","RE-PU-IIIDE-2025-03-104585","Servicio de mantenimiento preventivo de los vehículos con vigencia tecnológica que son asignados a las unidades de la IIIDE ?TARQUI?.","active","EC-RUC-1768002080001-104585","Tercera Division de la F.T ""Tarqui""","8954.98","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-05-22T17:00:00-05:00","2025-05-28T11:00:00-05:00","2025-05-28T11:00:00-05:00","5","2025-05-22T17:00:00-05:00","","","","","Cumplimiento Especificaciones,Equipo Propuesto,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2025-06-04T17:00:00-05:00","2025-06-04T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HEJCA-2025-153-87497","RE-PU-HEJCA-2025-153-87497-2025-07-08T17:48:26.185Z-compiled","RE-PU-HEJCA-2025-153-87497","RE-PU-HEJCA-2025-153-87497","ADQUISICIÓN DE INMUNOGLOBULINA HUMANA NORMAL LIQUIDO PARENTERAL PARA ADMINISTRACION INTRAVASCULAR LIQUIDOPARENTERAL 100 MG/ML","active","EC-RUC-0160017400001-87497","HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA","676026.00","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-03T18:00:00-05:00","2025-06-10T10:00:00-05:00","2025-06-10T10:00:00-05:00","6","2025-06-03T18:00:00-05:00","","","","","Otros Parámetros de Calificación","","2025-06-23T20:00:00-05:00","2025-06-23T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-UA-2025-001-596700","RE-PU-UA-2025-001-596700-2025-06-27T16:25:43.653Z-compiled","RE-PU-UA-2025-001-596700","RE-PU-UA-2025-001-596700","ACTUALIZACIÓN DETECNOLOGÍAS BACKEND Y FRONTEND DEL SISTEMA DE GESTIÓN ACADÉMICA PARALA UNIVERSIDAD DE LAS ARTES","active","EC-RUC-0968604120001-596700","UNIVERSIDAD DE LAS ARTES","10000.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-03T11:00:00-05:00","2025-06-06T15:00:00-05:00","2025-06-06T15:00:00-05:00","3","2025-06-03T11:00:00-05:00","","","","","Garantía Técnica,Indices Financieros,Personal Técnico,Experiencia General,Experiencia Personal Técnico","","2025-06-17T17:00:00-05:00","2025-06-17T17:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-UNACH-2025-004-124774","RE-PU-UNACH-2025-004-124774-2025-07-01T17:39:20.728Z-compiled","RE-PU-UNACH-2025-004-124774","RE-PU-UNACH-2025-004-124774","SERVICIO DE MANTENIMIENTO VEHÍCULOS ELÉCTRICOS DE PROPIEDADDE LA UNIVERSIDAD NACIONAL DE CHIMBORAZO, 2025","active","EC-RUC-0660001840001-124774","Universidad Nacional de Chimborazo","2000.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-03T16:00:00-05:00","2025-06-09T14:00:00-05:00","2025-06-09T14:00:00-05:00","5","2025-06-03T16:00:00-05:00","","","","","Experiencia,Oferta Económica,Cumplimiento Especificaciones","","2025-06-16T18:00:00-05:00","2025-06-16T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-CBDMQ-2025-002-2525","RE-PU-CBDMQ-2025-002-2525-2025-07-22T17:04:40.741Z-compiled","RE-PU-CBDMQ-2025-002-2525","RE-PU-CBDMQ-2025-002-2525","CONTRATACIÓN DE UN TALLER ESPECIALIZADO EN AVIACIÓN OMA PARA EL MANTENIMIENTO PREVENTIVO CORRECTIVO PARA EL HELICÓPTERO DEL CBDMQ","active","EC-RUC-1768097950001-2525","CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO","625090.84","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-04T20:00:00-05:00","2025-06-12T10:00:00-05:00","2025-06-12T10:00:00-05:00","7","2025-06-04T20:00:00-05:00","","","","TRUE","Otros Parámetros de Calificación,Cumplimiento Especificaciones,Personal Técnico,Experiencia General,Experiencia Personal Técnico","","2025-06-26T20:00:00-05:00","2025-06-26T20:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-HOSNAG-2025-007-2706","RE-PU-HOSNAG-2025-007-2706-2025-07-23T17:00:42.425Z-compiled","RE-PU-HOSNAG-2025-007-2706","RE-PU-HOSNAG-2025-007-2706","MANTENIMIENTO PREVENTIVO DEL ESTERILIZADOR DE VAPOR TUTTNAUERGARANTÍA EXTENDIDA POR VIGENCIA TECNOLÓGICA","active","EC-RUC-1768009680001-2706","HOSPITAL NAVAL GUAYAQUIL","8160.00","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-04T18:00:00-05:00","2025-06-12T10:00:00-05:00","2025-06-12T10:00:00-05:00","7","2025-06-04T18:00:00-05:00","","","","","Oferta Económica,Cumplimiento Especificaciones,Garantía Técnica,Equipo Propuesto,Personal Técnico","","2025-06-25T18:00:00-05:00","2025-06-25T18:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADMP_-2025-002-51620","RE-PU-GADMP_-2025-002-51620-2025-08-26T19:01:06.718Z-compiled","RE-PU-GADMP_-2025-002-51620","RE-PU-GADMP_-2025-002-51620","SERVICIO DE ABASTECIMIENTO DE COMBUSTIBLE DIÉSEL PARA VEHÍCULOS Y MAQUINARIA PESADA PERTENECIENTE AL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE PAQUISHA DEL PROYECTO AMPLIACIÓN DE LA COBERTURA Y MEJORAMIENTO DE LA CALIDAD DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO E INFRAESTRUCTURA DE SOPORTE DEL CANTÓN PAQUISHA","complete","EC-RUC-1960139890001-51620","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE PAQUISHA","118113.12","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-04T15:30:00-05:00","2025-06-10T15:30:00-05:00","2025-06-10T15:30:00-05:00","6","2025-06-04T15:30:00-05:00","","","","","Experiencia,Ponderación Variable Producción Nacional Otros,Cumplimiento Especificaciones,Experiencia General","","2025-06-16T16:00:00-05:00","2025-06-16T16:00:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADPSE-2025-02-30375","RE-PU-GADPSE-2025-02-30375-2025-07-12T17:13:39.461Z-compiled","RE-PU-GADPSE-2025-02-30375","RE-PU-GADPSE-2025-02-30375","ADQUISICIÓN DE REPUESTOS Y LUBRICANTES PARA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS MAQUINARIAS KOMATSU Y HAMM DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DE SANTA ELENA","active","EC-RUC-0968580510001-30375","GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE SANTA ELENA","211123.97","USD","direct","Bienes y Servicios únicos","goods","ratedCriteria","2025-06-04T18:00:00-05:00","2025-06-10T08:00:00-05:00","2025-06-10T08:00:00-05:00","5","2025-06-04T18:00:00-05:00","","","","","Otros Parámetros de Calificación,Cumplimiento Especificaciones","","2025-06-17T17:30:00-05:00","2025-06-17T17:30:00-05:00","","1"
"ocds-5wno2w-RE-PU-GADMCPZ-2025-001-2345","RE-PU-GADMCPZ-2025-001-2345-2025-07-19T17:16:43.138Z-compiled","RE-PU-GADMCPZ-2025-001-2345","RE-PU-GADMCPZ-2025-001-2345","SERVICIO DE IMPRESIÓN DE ESPECIES VALORADAS PARA EL SISTEMA DE ESTACIONAMIENTO ROTATIVO ORDENADO TARIFADO SEROT-P DE LA CIUDAD DE PUYO, CANTÓN Y PROVINCIA DE PASTAZA","active","EC-RUC-1660000250001-2345","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN PASTAZA","7435.50","USD","direct","Bienes y Servicios únicos","services","ratedCriteria","2025-06-04T17:00:00-05:00","2025-06-16T14:00:00-05:00","2025-06-16T14:00:00-05:00","11","2025-06-04T17:00:00-05:00","","","","","Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones","","2025-06-19T15:00:00-05:00","2025-06-19T15:00:00-05:00","","1"
