"ocid","release_id","id","title","description","status","date","amount","currency","correctedValue_amount","correctedValue_currency","enteredValue_amount","enteredValue_currency","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays"
"ocds-5wno2w-RE-PU-CB_CM-2025-003-25978","RE-PU-CB_CM-2025-003-25978-2025-06-23T16:59:37.632Z-compiled","8150991-RE-PU-CB_CM-2025-003","","CUMPLE CON LOS SOLICITADO POR LA ENTIDAD CONTRATANTE","","2025-06-23T10:52:30-05:00","371.63","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CB_CM-2025-003-25978","RE-PU-CB_CM-2025-003-25978-2025-06-23T16:59:37.632Z-compiled","8150996-RE-PU-CB_CM-2025-003","","CUMPLE CON LOS SOLICITADO POR LA ENTIDAD CONTRATANTE","","2025-06-23T10:52:30-05:00","401.71","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CGFAE-2025-002-2679","RE-PU-CGFAE-2025-002-2679-2025-06-10T15:49:56.244Z-compiled","8141090-RE-PU-CGFAE-2025-002","","POR CUMPLIR CON LO REQUERIDO EN LOS PLIEGOS CONFORME EL ACTA DE CALIFICACION DE LA OFERTA","","2025-06-09T14:01:12-05:00","67606.76","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HEJCA-2025-152-87497","RE-PU-HEJCA-2025-152-87497-2025-06-20T17:01:42.174Z-compiled","8119535-RE-PU-HEJCA-2025-152","","CUMPLE CON LO ESTABLECIDO","","2025-06-05T10:13:16-05:00","41502.72","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADGPA-2025-001-30745","RE-PU-GADGPA-2025-001-30745-2025-07-10T17:27:50.373Z-compiled","8148811-RE-PU-GADGPA-2025-001","","LA OFERTA CUMPLE CON LOS REQUISITOS TÉCNICOS, ECONÓMICOS Y LEGALES ESTABLECIDOS, POR LO TANTO, ES CONVENIENTE A LOS INTERESES INSTITUCIONALES DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DEL AZUAY","","2025-06-18T16:23:37-05:00","49331.14","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CMFIEDM-2025-006-748941","RE-PU-CMFIEDM-2025-006-748941-2025-08-12T22:30:58.502Z-compiled","8113941-RE-PU-CMFIEDM-2025-006","","De conformidad con lo dispuesto en el numeral 1 del artículo 2 y el artículo 132 de la LOSNCP y, en uso de lasatribuciones conferidas por la Resolución Administrativa Nro. IESS-DG-DR-2018-008-RFDQ, de 21 de noviembre de 2018","","2025-05-30T15:49:17-05:00","9328.80","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-IESSHGM-2025-01-57617","RE-PU-IESSHGM-2025-01-57617-2025-08-28T18:56:59.451Z-compiled","8138492-RE-PU-IESSHGM-2025-01","","EL OFERENTE CUMPLE CON LO SOLICITADO POR LA ENTIDAD CONTRATANTE.","","2025-06-09T14:49:33-05:00","42156.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CBDMQ-2025-001-2525","RE-PU-CBDMQ-2025-001-2525-2025-07-22T17:04:38.864Z-compiled","8159103-RE-PU-CBDMQ-2025-001","","Por cuanto cumple con lo requerido dentro de los pliegos de contratación del presente procedimiento.","","2025-07-02T13:24:09-05:00","784245.29","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HCAM-2025-018-54651","RE-PU-HCAM-2025-018-54651-2025-07-15T16:57:58.923Z-compiled","8152923-RE-PU-HCAM-2025-018","","Por cuanto su oferta cumple con las condiciones y términos establecidos en los pliegos y es convenientea los intereses técnicos, financieros y legales de la Institución, de conformidad con el numeral 17 del artículo 6de la LOSNCP","","2025-06-20T16:00:58-05:00","305672.40","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-DNCTSV-2025-001-2506","RE-PU-DNCTSV-2025-001-2506-2025-06-04T15:47:21.585Z-compiled","8131876-RE-PU-DNCTSV-2025-001","","Por cumplir con las especificaciones técnicas y parámetros establecidos.","","2025-06-03T14:24:21-05:00","506995.08","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADCUMBARATZA-2025-006-110599","RE-PU-GADCUMBARATZA-2025-006-110599-2025-06-04T15:45:06.910Z-compiled","8130372-RE-PU-GADCUMBARATZA-2025-006","","Cumple con lo solicitado","","2025-06-03T11:33:43-05:00","6.00","USD","","","","","2025-06-04T00:00:00-05:00","2026-06-04T00:00:00-05:00","","365"
"ocds-5wno2w-RE-PU-IIIDE-2025-03-104585","RE-PU-IIIDE-2025-03-104585-2025-07-03T17:28:55.985Z-compiled","8125804-RE-PU-IIIDE-2025-03","","por cumplir con todos los requisitos mínimos dentro de este proceso establecido en los pliegos y términos de referencia y dando cumplimiento al acuerdo 1515 vigencia tecnológica","","2025-06-04T10:23:31-05:00","8954.98","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HEJCA-2025-153-87497","RE-PU-HEJCA-2025-153-87497-2025-07-08T17:48:26.185Z-compiled","8155652-RE-PU-HEJCA-2025-153","","POR CUMPLIR CON TODOS LOS REQUISITOS SOLICITADOS EN EL PLIEGO","","2025-06-24T11:26:07-05:00","676026.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UA-2025-001-596700","RE-PU-UA-2025-001-596700-2025-06-27T16:25:43.653Z-compiled","8150274-RE-PU-UA-2025-001","","CUMPLE CON LO REQUERIDO EN LOS TERMINOS DE REFERENCIA Y PLIEGOS","","2025-06-19T16:56:41-05:00","10000.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UNACH-2025-004-124774","RE-PU-UNACH-2025-004-124774-2025-07-01T17:39:20.728Z-compiled","8158184-RE-PU-UNACH-2025-004","","CUMPLE CON LO REQUERIDO POR LA ENTIDAD","","2025-06-24T12:43:23-05:00","2000.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CBDMQ-2025-002-2525","RE-PU-CBDMQ-2025-002-2525-2025-07-22T17:04:40.741Z-compiled","8167411-RE-PU-CBDMQ-2025-002","","Por cuanto cumple con lo requerido dentro de los pliegos de contratación.","","2025-06-30T16:35:12-05:00","625090.84","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HOSNAG-2025-007-2706","RE-PU-HOSNAG-2025-007-2706-2025-07-23T17:00:42.425Z-compiled","8168114-RE-PU-HOSNAG-2025-007","","POR CUMPLIR CON TODOS LOS PARÁMETROS ESTABLECIDOS EN LOS PLIEGOS Y ESPECIFICACIONES TÉCNICAS","","2025-06-20T12:05:11-05:00","8160.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADMP_-2025-002-51620","RE-PU-GADMP_-2025-002-51620-2025-08-26T19:01:06.718Z-compiled","8161474-RE-PU-GADMP_-2025-002","","CUMPLE CON LO  REQUERIDO POR LA ENTIDAD","","2025-06-18T19:51:06-05:00","118113.12","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADPSE-2025-02-30375","RE-PU-GADPSE-2025-02-30375-2025-07-12T17:13:39.461Z-compiled","8158656-RE-PU-GADPSE-2025-02","","Se ADJUDICA, el contrato del proceso de Régimen Especial - Repuestos o Accesorios y Proveedor Único N RE-PU-GADPSE-2025-02: ?ADQUISICIÓN DE REPUESTOS Y LUBRICANTES PARA EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS MAQUINARIAS KOMATSU Y HAMM DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO PROVINCIAL DE SANTA ELENA?, al oferente compañía DITECA S.A. con RUC N 0991284214001, por el monto de USD$211.123,97 Doscientos once mil ciento veintitrés con 97/100 dólares de los Estados Unidos de Norte América, sin incluir IVA con un plazo de entrega de 90 días, contados a partir del día siguiente de la fecha de suscripción del contrato, de acuerdo a las entregas parciales, adjudicación que se la realiza sobre la base del informe y el expediente presentado por la Comisión Técnica, encargada para este proceso, por haber cumplido con los requisitos y documentos solicitados en los pliegos.","","2025-06-18T13:05:09-05:00","211123.97","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADMCPZ-2025-001-2345","RE-PU-GADMCPZ-2025-001-2345-2025-07-19T17:16:43.138Z-compiled","8165769-RE-PU-GADMCPZ-2025-001","","Cumple con los requisitos establecidos en los pliegos","","2025-06-24T17:53:09-05:00","7435.50","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UINPIAW23-2025-001-959480","RE-PU-UINPIAW23-2025-001-959480-2025-08-22T18:35:57.726Z-compiled","8138479-RE-PU-UINPIAW23-2025-001","","Por cumplir con lo determinado en los pliegos y términos de referencia","","2025-06-19T14:21:42-05:00","7000.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-MIMG-2025-002-44856","RE-PU-MIMG-2025-002-44856-2025-08-12T22:32:10.649Z-compiled","8169035-RE-PU-MIMG-2025-002","","por ser idonea desde el punto de vista juridico y haber cumplido con los requisitos establecidos en los pliegos, de conformidad con la Ley Organica del Sistema Nacional de Contratacion Publica, su Reglamento de Aplicacion y demas resoluciones vigentes del SERCOP","","2025-06-30T16:04:56-05:00","69913.50","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UNACH-2025-003-124774","RE-PU-UNACH-2025-003-124774-2025-06-06T15:46:39.869Z-compiled","8113473-RE-PU-UNACH-2025-003","","CUMPLE CON LO REQUERIDO","","2025-05-30T16:47:59-05:00","16947.99","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CELECEP-2025-02176-238940","RE-PU-CELECEP-2025-02176-238940-2025-07-12T17:16:36.709Z-compiled","8169664-RE-PU-CELECEP-2025-02176","","Según se detalla en la RESOLUCIÓN DE ADJUDICACIÓN No EGU-RES-0182-25.","","2025-07-10T15:38:24-05:00","50280.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-BCBG-2025-0010-2528","RE-PU-BCBG-2025-0010-2528-2025-07-16T16:57:19.468Z-compiled","8165482-RE-PU-BCBG-2025-0010","","Por cumplir con la integridad de la oferta, requisitos mínimos y parámetros de evaluación determinados en el pliego del proceso,","","2025-06-26T17:17:44-05:00","38769.84","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SZZCH-2025-008-178816","RE-PU-SZZCH-2025-008-178816-2025-06-06T15:46:40.006Z-compiled","8107653-RE-PU-SZZCH-2025-008","","CUMPLE CON LO SOLICITADO EN LOS TDR","","2025-05-29T20:04:49-05:00","3700.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SZZCH-2025-008-178816","RE-PU-SZZCH-2025-008-178816-2025-06-06T15:46:40.006Z-compiled","8107661-RE-PU-SZZCH-2025-008","","CUMPLE CON LO SOLICITADO EN LOS TDR","","2025-05-29T20:04:49-05:00","7300.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADPP-2025-11-2426","RE-PU-GADPP-2025-11-2426-2025-06-19T16:59:10.471Z-compiled","8166918-RE-PU-GADPP-2025-11","","Por ser una oferta conveniente para los intereses institucionales y cumplir con los requisitos solicitados","","2025-06-18T14:34:55-05:00","66030.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GMB-2025-01-20973","RE-PU-GMB-2025-01-20973-2025-08-12T22:32:11.326Z-compiled","8168542-RE-PU-GMB-2025-01","","Por cumplir con la integridad de su oferta, los términos de referencia y los requerimientos mínimos y parámetros establecidos en los pliegos.","","2025-07-02T14:56:38-05:00","11550.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HVCM-2025-005-12070","RE-PU-HVCM-2025-005-12070-2025-06-07T15:46:48.597Z-compiled","8074781-RE-PU-HVCM-2025-005","","PROAUDIO ANDRADE DURAN cumple con la integridad, requisitos y parámetros mínimos solicitados, y el costo de la oferta se encuentra dentro de los establecido por la Ley.","","2025-05-22T10:52:55-05:00","172616.52","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CGFT-2025-2-2562","RE-PU-CGFT-2025-2-2562-2025-06-30T16:30:15.398Z-compiled","8166871-RE-PU-CGFT-2025-2","","Se recomienda ADJUDICAR la oferta presentada por COHECO S. A., con RUC 1790043800001, por el valor de USD 18.946,92 dieciocho mil novecientos cuarenta y seis con 92/100 dólares de los Estados Unidos de América valor sin incluir el IVA","","2025-06-20T17:29:20-05:00","18946.92","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-EPMOL-2025-002-1098994","RE-PU-EPMOL-2025-002-1098994-2025-06-20T17:04:23.630Z-compiled","8143773-RE-PU-EPMOL-2025-002","","Debido a que cumple con la integridad, requisitos y parámetros mínimos solicitados de acuerdo a la normativa establecida en el proceso de Régimen Especial","","2025-06-19T17:10:01-05:00","30838.92","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CAPBOL-2025-0001-105494","RE-PU-CAPBOL-2025-0001-105494-2025-07-02T17:40:03.300Z-compiled","8169681-RE-PU-CAPBOL-2025-0001","","Adjudicar el contrato a Almacenes Juan Eljuri CIA LTDA con RUC No. 0190007510001, cuyo objeto es la ?CAPITANÍA ADQUISICIÓN DE REPUESTOS Y ACCESORIOS PARA MOTORES FUERA DE BORDA YAMAHA ASIGNADOS A LA DE PUERTO BOLÍVAR?, por un valor de $ 10.996,06 DIEZ MIL NOVECIENTOS NOVENTA Y SEIS DÓLARES CON 06/100 CENTAVOS, sin incluir IVA, con un plazo estimado para la ejecución del contrato de 90 días calendarios a partir de la suscripción del contrato.","","2025-06-30T21:11:47-05:00","10996.06","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SZ-ELORO-2025-001-179196","RE-PU-SZ-ELORO-2025-001-179196-2025-06-20T17:04:26.116Z-compiled","8172175-RE-PU-SZ-ELORO-2025-001","","POR CUMPLIR LOS REQUISITOS MÍNIMOS ESTABLECIDOS EN LOS PLIEGOS Y REQUERIDOS POR LA ENTIDAD CONTRATANTE","","2025-06-20T09:30:27-05:00","60002.08","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-11-BCB-2025-001-92997","RE-PU-11-BCB-2025-001-92997-2025-07-18T17:01:51.852Z-compiled","8175506-RE-PU-11-BCB-2025-001","","Por haber cumplido con todos los requisitos legales, precontractuales, estipulados en los Pliegos y de conformidad con la calificación de la oferta presentada en base a lo presentado el Sistema de Contratación Pública","","2025-07-04T19:33:14-05:00","5850.55","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HEEE-2025-007-52558","RE-PU-HEEE-2025-007-52558-2025-07-19T17:16:45.583Z-compiled","8190421-RE-PU-HEEE-2025-007","","ADJUDICADO SEGUN RESOLUCION MSP-CZ9-HEEE-2025-0070-R","","2025-07-03T12:03:47-05:00","510000.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-21BS-2025-001-96739","RE-PU-21BS-2025-001-96739-2025-06-30T16:30:14.717Z-compiled","8143509-RE-PU-21BS-2025-001","","se adjudica por ser proveedor unico","","2025-06-10T16:39:14-05:00","3736.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-EPP-2025-005-253178","RE-PU-EPP-2025-005-253178-2025-07-21T17:07:24.354Z-compiled","8179533-RE-PU-EPP-2025-005","","POR CUMPLIR CON LOS REQUISITOS ESTABLECIDOS EN LOS PLIEGOS Y DE ACUERDO AL INFORME DE RESULTADOS Y RECOMENDACION SUSCRITO POR LA COMISIÓN TÉCNICA Y AUTORIZADO POR EL ORDENADOR DE GASTO.","","2025-07-03T15:28:49-05:00","228219.13","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-ESPOLTECH-2025-001-375899","RE-PU-ESPOLTECH-2025-001-375899-2025-07-01T17:39:21.466Z-compiled","8156783-RE-PU-ESPOLTECH-2025-001","","CUMPLE CON LA INTEGRIDAD DE LA OFERTA","","2025-06-20T14:53:46-05:00","9072.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HGNGC-2025-003-818925","RE-PU-HGNGC-2025-003-818925-2025-08-12T22:32:31.451Z-compiled","8189132-RE-PU-HGNGC-2025-003","","Artículo 2.- ADJUDICAR al oferente EQUIPOS Y PRODUCTOS MEDICOS EPMS.A., con RUC: 0992947624001, por un valor de USD $288.037,07 DOSCIENTOSOCHENTA Y OCHO MIL TREINTA Y SIETE CON 07/100 DÓLARES DE LOSESTADOS UNIDOS DE AMÉRICAMAS IVA y un plazo de ejecución de 365Trescientos sesenta y cinco días calendario, contados a partir del día siguiente de lanotificación por escrito por parte del administrador del contrato respecto de ladisponibilidad del anticipo, en la cuenta bancaria proporcionada por el contratista.signado con el código RE-PU-HGNGC-2025-003 cuyo objeto es la ?ADQUISICIÓNDE REPUESTOS Y DEL SERVICIO DE MANTENIMIENTO CORRECTIVO YPREVENTIVO PARA VENTILADORES BELLAVISTA MODELO 1000, DELHOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS? porcumplir con los requisitos mínimos solicitados en el pliego además de encontrarsedebidamente habilitado en el Sistema Oficial de Contratación Pública","","2025-07-03T11:14:57-05:00","52649.31","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-HGNGC-2025-003-818925","RE-PU-HGNGC-2025-003-818925-2025-08-12T22:32:31.451Z-compiled","8189389-RE-PU-HGNGC-2025-003","","Artículo 2.- ADJUDICAR al oferente EQUIPOS Y PRODUCTOS MEDICOS EPMS.A., con RUC: 0992947624001, por un valor de USD $288.037,07 DOSCIENTOSOCHENTA Y OCHO MIL TREINTA Y SIETE CON 07/100 DÓLARES DE LOSESTADOS UNIDOS DE AMÉRICAMAS IVA y un plazo de ejecución de 365Trescientos sesenta y cinco días calendario, contados a partir del día siguiente de lanotificación por escrito por parte del administrador del contrato respecto de ladisponibilidad del anticipo, en la cuenta bancaria proporcionada por el contratista.signado con el código RE-PU-HGNGC-2025-003 cuyo objeto es la ?ADQUISICIÓNDE REPUESTOS Y DEL SERVICIO DE MANTENIMIENTO CORRECTIVO YPREVENTIVO PARA VENTILADORES BELLAVISTA MODELO 1000, DELHOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS? porcumplir con los requisitos mínimos solicitados en el pliego además de encontrarsedebidamente habilitado en el Sistema Oficial de Contratación Pública","","2025-07-03T11:14:57-05:00","235387.76","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-EPMGIDSA-2025-001-382149","RE-PU-EPMGIDSA-2025-001-382149-2025-06-30T16:30:13.419Z-compiled","8129772-RE-PU-EPMGIDSA-2025-001","","POR CUMPLIR CON LO REQUERIDO EN EL PLIEGO","","2025-06-11T11:41:40-05:00","23078.40","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-DNPJ-2025-012-183304","RE-PU-DNPJ-2025-012-183304-2025-08-12T22:32:35.333Z-compiled","8189522-RE-PU-DNPJ-2025-012","","POR CUMPLIR CON LO SOLICITADO EN LOS PLIEGOS Y TERMINOS DE REFERENCIA","","2025-07-08T10:32:37-05:00","96666.67","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADMSFD-2025-001-2452","RE-PU-GADMSFD-2025-001-2452-2025-09-30T19:02:58.117Z-compiled","8189373-RE-PU-GADMSFD-2025-001","","POR CUMPLIR CON LOS PARAMTROS MINIMOS ESTABLECIDOS POR LA ENTIDAD CONTRATANTE","","2025-07-08T16:17:10-05:00","14365.50","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UPEC-2025-006-24327","RE-PU-UPEC-2025-006-24327-2025-07-12T17:13:43.865Z-compiled","8179131-RE-PU-UPEC-2025-006","","CUMPLE CON LO SOLICITADO EN LOS PLIEGOS Y POR CONVENIR A LOS INTERESES DE LA INSTITUCIÓN","","2025-06-30T22:28:48-05:00","8300.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CGFT-2025-3-2562","RE-PU-CGFT-2025-3-2562-2025-06-28T16:38:59.224Z-compiled","8180470-RE-PU-CGFT-2025-3","","Por cumplir con todos los requisitos establecidos en el pliego y términos de referencia","","2025-06-27T12:17:57-05:00","9533.70","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-MSR-2025-00001-318303","RE-PU-MSR-2025-00001-318303-2025-06-13T16:14:31.449Z-compiled","8161123-RE-PU-MSR-2025-00001","","Conforme Art 32 de la LOSNCP","","2025-06-12T12:55:55-05:00","6768.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-MSR-2025-00001-318303","RE-PU-MSR-2025-00001-318303-2025-06-13T16:14:31.449Z-compiled","8161187-RE-PU-MSR-2025-00001","","Conforme Art 32 de la LOSNCP","","2025-06-12T12:55:55-05:00","1200.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SRI-2025-00004-2438","RE-PU-SRI-2025-00004-2438-2025-08-12T22:32:39.076Z-compiled","8181589-RE-PU-SRI-2025-00004","","Cumple con todo lo solicitado en los pliegos","","2025-07-04T08:55:29-05:00","190000.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-GADMY-2025-003-38149","RE-PU-GADMY-2025-003-38149-2025-08-20T18:18:27.451Z-compiled","8125023-RE-PU-GADMY-2025-003","","CUMPLE CON LO SOLICITADO EN PLIEGOS, TDRS Y DE CONFORMIDAD AL INFORME EXPRESO DE RECOMENDACIÓN DE ADJUDICACIÓN DEL DELEGADO","","2025-06-03T11:30:09-05:00","4428.57","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UTMACH-2025-002-60177","RE-PU-UTMACH-2025-002-60177-2025-06-30T16:30:15.179Z-compiled","8161197-RE-PU-UTMACH-2025-002","","CUMPLE","","2025-06-13T08:45:02-05:00","17801.63","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SZI-2025-001-179005","RE-PU-SZI-2025-001-179005-2025-07-05T17:46:22.166Z-compiled","8185193-RE-PU-SZI-2025-001","","Por cumplir con los requisitos técnicos, económicos y legales solicitados por la entidad contratante.","","2025-06-24T12:41:10-05:00","17941.54","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SZI-2025-001-179005","RE-PU-SZI-2025-001-179005-2025-07-05T17:46:22.166Z-compiled","8185379-RE-PU-SZI-2025-001","","Por cumplir con los requisitos técnicos, económicos y legales solicitados por la entidad contratante.","","2025-06-24T12:41:10-05:00","19181.60","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-SZI-2025-001-179005","RE-PU-SZI-2025-001-179005-2025-07-05T17:46:22.166Z-compiled","8185383-RE-PU-SZI-2025-001","","Por cumplir con los requisitos técnicos, económicos y legales solicitados por la entidad contratante.","","2025-06-24T12:41:10-05:00","12920.35","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-UNACH-2025-006-124774","RE-PU-UNACH-2025-006-124774-2025-07-04T16:43:21.410Z-compiled","8165275-RE-PU-UNACH-2025-006","","CUMPLE CON LO REQUERIDO","","2025-06-20T15:43:23-05:00","9450.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CCQAHDCL-2025-001-2708","RE-PU-CCQAHDCL-2025-001-2708-2025-07-04T16:46:11.709Z-compiled","8181535-RE-PU-CCQAHDCL-2025-001","","CUMPLE CON LAS ESPECIFICACIONES TECNICAS Y DEMAS REQUISITOPS MINIMOS SOLICITADOS DENTRO DEL PROCEDIMIENTOD E CONTRATACIÓN Y SU OFERTA ECONÓMICA SE ENCUENTRA DENTRO DE LA ESTABLECIDA POR LA CONTRATANTE.","","2025-07-03T15:40:39-05:00","17444.41","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CCQAHDCL-2025-001-2708","RE-PU-CCQAHDCL-2025-001-2708-2025-07-04T16:46:11.709Z-compiled","8181550-RE-PU-CCQAHDCL-2025-001","","CUMPLE CON LAS ESPECIFICACIONES TECNICAS Y DEMAS REQUISITOPS MINIMOS SOLICITADOS DENTRO DEL PROCEDIMIENTOD E CONTRATACIÓN Y SU OFERTA ECONÓMICA SE ENCUENTRA DENTRO DE LA ESTABLECIDA POR LA CONTRATANTE.","","2025-07-03T15:40:39-05:00","5194.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CRCG-2025-002-97147","RE-PU-CRCG-2025-002-97147-2025-08-12T22:32:44.597Z-compiled","8196373-RE-PU-CRCG-2025-002","","La información presentada por el oferente invitado, cumple con lo requerido por la Corporación Registro Civil de Guayaquil.","","2025-07-04T10:33:52-05:00","27000.00","USD","","","","","","","",""
"ocds-5wno2w-RE-PU-CRCG-2025-002-97147","RE-PU-CRCG-2025-002-97147-2025-08-12T22:32:44.597Z-compiled","8196375-RE-PU-CRCG-2025-002","","La información presentada por el oferente invitado, cumple con lo requerido por la Corporación Registro Civil de Guayaquil.","","2025-07-04T10:33:52-05:00","57600.00","USD","","","","","","","",""
