"ocid","id","initiationType","buyer_id","buyer_name","language","date","tag"
"ocds-5wno2w-RE-PU-UNACH-2025-003-124774","RE-PU-UNACH-2025-003-124774-2025-06-06T15:46:39.869Z-compiled","tender","EC-RUC-0660001840001-124774","Universidad Nacional de Chimborazo","es","2025-06-06T10:52:38-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CELECEP-2025-02176-238940","RE-PU-CELECEP-2025-02176-238940-2025-07-12T17:16:36.709Z-compiled","tender","EC-RUC-1768152800001-238940","CORPORACION ELECTRICA DEL ECUADOR CELEC EP.","es","2025-07-12T12:22:09-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-BCBG-2025-0010-2528","RE-PU-BCBG-2025-0010-2528-2025-07-16T16:57:19.468Z-compiled","tender","EC-RUC-0968514210001-2528","BENEMERITO CUERPO DE BOMBEROS DE GUAYAQUIL  ","es","2025-07-16T12:03:57-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-SZZCH-2025-008-178816","RE-PU-SZZCH-2025-008-178816-2025-06-06T15:46:40.006Z-compiled","tender","EC-RUC-1960136440001-178816","SUBZONA ZAMORA CHINCHIPE","es","2025-06-06T10:52:37-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-GADPP-2025-11-2426","RE-PU-GADPP-2025-11-2426-2025-06-19T16:59:10.471Z-compiled","tender","EC-RUC-1760003330001-2426","GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE PICHINCHA","es","2025-06-19T12:03:05-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-HCAM-2025-019-54651","RE-PU-HCAM-2025-019-54651-2025-07-05T17:50:13.076Z-compiled","tender","EC-RUC-1768046450001-54651","HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN","es","2025-07-05T12:52:07-05:00","[""planning"",""tender""]"
"ocds-5wno2w-RE-PU-GMB-2025-01-20973","RE-PU-GMB-2025-01-20973-2025-08-12T22:32:11.326Z-compiled","tender","EC-RUC-1260000220001-20973","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BABAHOYO - GADM DE BABAHOYO","es","2025-08-12T18:24:35-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HVCM-2025-005-12070","RE-PU-HVCM-2025-005-12070-2025-06-07T15:46:48.597Z-compiled","tender","EC-RUC-0160006390001-12070","HOSPITAL VICENTE CORRAL MOSCOSO","es","2025-06-07T10:52:15-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CGFT-2025-2-2562","RE-PU-CGFT-2025-2-2562-2025-06-30T16:30:15.398Z-compiled","tender","EC-RUC-1768025530001-2562","FUERZA TERRESTRE ","es","2025-06-30T11:34:41-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EPMOL-2025-002-1098994","RE-PU-EPMOL-2025-002-1098994-2025-06-20T17:04:23.630Z-compiled","tender","EC-RUC-0590041531001-1098994","EMPRESA PUBLICA DE MOVILIDAD DEL CANTON LATACUNGA","es","2025-06-20T12:07:56-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-CAPBOL-2025-0001-105494","RE-PU-CAPBOL-2025-0001-105494-2025-07-02T17:40:03.300Z-compiled","tender","EC-RUC-0760006620001-105494","CAPITANIA DEL PUERTO DE PUERTO BOLIVAR","es","2025-07-02T12:46:47-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-SZ-ELORO-2025-001-179196","RE-PU-SZ-ELORO-2025-001-179196-2025-06-20T17:04:26.116Z-compiled","tender","EC-RUC-0760013750001-179196","SUBZONA EL ORO","es","2025-06-20T12:07:57-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-CELECEP-2025-14091-238940","RE-PU-CELECEP-2025-14091-238940-2025-06-27T16:30:19.126Z-compiled","tender","EC-RUC-1768152800001-238940","CORPORACION ELECTRICA DEL ECUADOR CELEC EP.","es","2025-06-27T11:31:53-05:00","[""planning"",""tender""]"
"ocds-5wno2w-RE-PU-11-BCB-2025-001-92997","RE-PU-11-BCB-2025-001-92997-2025-07-18T17:01:51.852Z-compiled","tender","EC-RUC-1768000970001-92997","BRIGADA DE CABALLERIA BLINDADA No. 11 ""GALÁPAGOS""","es","2025-07-18T12:08:27-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HEEE-2025-007-52558","RE-PU-HEEE-2025-007-52558-2025-07-19T17:16:45.583Z-compiled","tender","EC-RUC-1768033980001-52558","Hospital Eugenio Espejo","es","2025-07-19T12:22:38-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-21BS-2025-001-96739","RE-PU-21BS-2025-001-96739-2025-06-30T16:30:14.717Z-compiled","tender","EC-RUC-1768004960001-96739","Brigada de Selva No. 21 ""Condor""","es","2025-06-30T11:34:41-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EPP-2025-005-253178","RE-PU-EPP-2025-005-253178-2025-07-21T17:07:24.354Z-compiled","tender","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","es","2025-07-21T12:12:55-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-ESPOLTECH-2025-001-375899","RE-PU-ESPOLTECH-2025-001-375899-2025-07-01T17:39:21.466Z-compiled","tender","EC-RUC-0968592010001-375899","EMPRESA PUBLICA DE SERVICIOS ESPOL - TECH E.P.","es","2025-07-01T12:46:27-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HGNGC-2025-003-818925","RE-PU-HGNGC-2025-003-818925-2025-08-12T22:32:31.451Z-compiled","tender","EC-RUC-0968606840001-818925","HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS","es","2025-08-12T18:24:51-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EPMGIDSA-2025-001-382149","RE-PU-EPMGIDSA-2025-001-382149-2025-06-30T16:30:13.419Z-compiled","tender","EC-RUC-1865033840001-382149","EMPRESA PUBLICA MUNICIPAL PARA LA GESTION INTEGRAL DE LOS DESECHOS SOLIDOS DEL CANTON AMBATO","es","2025-06-30T11:34:41-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-DNPJ-2025-012-183304","RE-PU-DNPJ-2025-012-183304-2025-08-12T22:32:35.333Z-compiled","tender","EC-RUC-1768048660001-183304","UDAF-EOD DIRECCION NACIONAL DE INVESTIGACION DE POLICIA JUDICIAL","es","2025-08-12T18:23:54-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-GADMSFD-2025-001-2452","RE-PU-GADMSFD-2025-001-2452-2025-09-30T19:02:58.117Z-compiled","tender","EC-RUC-1560001160001-2452","GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SHUSHUFINDI","es","2025-09-30T14:11:15-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UPEC-2025-006-24327","RE-PU-UPEC-2025-006-24327-2025-07-12T17:13:43.865Z-compiled","tender","EC-RUC-1768132370001-24327","UNIVERSIDAD POLITECNICA ESTATAL DEL CARCHI","es","2025-07-12T12:22:13-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CGFT-2025-3-2562","RE-PU-CGFT-2025-3-2562-2025-06-28T16:38:59.224Z-compiled","tender","EC-RUC-1768025530001-2562","FUERZA TERRESTRE ","es","2025-06-28T11:41:37-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-MSR-2025-00001-318303","RE-PU-MSR-2025-00001-318303-2025-06-13T16:14:31.449Z-compiled","tender","EC-RUC-1768157950001-318303","MISION SOCIAL RUMIÑAHUI","es","2025-06-13T11:17:49-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-SRI-2025-00004-2438","RE-PU-SRI-2025-00004-2438-2025-08-12T22:32:39.076Z-compiled","tender","EC-RUC-1760013210001-2438","SERVICIO DE RENTAS INTERNAS","es","2025-08-12T18:25:11-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-GADMY-2025-003-38149","RE-PU-GADMY-2025-003-38149-2025-08-20T18:18:27.451Z-compiled","tender","EC-RUC-1960000620001-38149","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE YANTZAZA","es","2025-08-20T13:32:04-05:00","[""planning"",""tender"",""award"",""contract"",""implementation""]"
"ocds-5wno2w-RE-PU-UTMACH-2025-002-60177","RE-PU-UTMACH-2025-002-60177-2025-06-30T16:30:15.179Z-compiled","tender","EC-RUC-0760001580001-60177","Universidad Tecnica de Machala","es","2025-06-30T11:34:41-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-SZI-2025-001-179005","RE-PU-SZI-2025-001-179005-2025-07-05T17:46:22.166Z-compiled","tender","EC-RUC-1060013400001-179005","SUBZONA IMBABURA","es","2025-07-05T12:52:07-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UNACH-2025-006-124774","RE-PU-UNACH-2025-006-124774-2025-07-04T16:43:21.410Z-compiled","tender","EC-RUC-0660001840001-124774","Universidad Nacional de Chimborazo","es","2025-07-04T11:49:38-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CCQAHDCL-2025-001-2708","RE-PU-CCQAHDCL-2025-001-2708-2025-07-04T16:46:11.709Z-compiled","tender","EC-RUC-1160037830001-2708","CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL LOJA","es","2025-07-04T11:49:36-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-PU-CRCG-2025-002-97147","RE-PU-CRCG-2025-002-97147-2025-08-12T22:32:44.597Z-compiled","tender","EC-RUC-0992441127001-97147","Corporacion Registro Civil de Guayaquil","es","2025-08-12T18:23:49-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HEP-2025-00005-889479","RE-PU-HEP-2025-00005-889479-2025-09-19T19:46:51.973Z-compiled","tender","EC-RUC-1360086920001-889479","HOSPITAL DE ESPECIALIDADES PORTOVIEJO","es","2025-09-19T14:54:43-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HOSNAE-2025-001-2618","RE-PU-HOSNAE-2025-001-2618-2025-07-08T17:48:30.904Z-compiled","tender","EC-RUC-0860038130001-2618","HOSPITAL NAVAL DE ESMERALDAS","es","2025-07-08T12:55:19-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HEP-2025-00006-889479","RE-PU-HEP-2025-00006-889479-2025-09-10T20:08:15.073Z-compiled","tender","EC-RUC-1360086920001-889479","HOSPITAL DE ESPECIALIDADES PORTOVIEJO","es","2025-09-10T15:16:51-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UTMACH-2025-003-60177","RE-PU-UTMACH-2025-003-60177-2025-07-12T17:13:41.964Z-compiled","tender","EC-RUC-0760001580001-60177","Universidad Tecnica de Machala","es","2025-07-12T12:22:13-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-UNL-2025-006-4092","RE-PU-UNL-2025-006-4092-2025-07-23T17:00:46.331Z-compiled","tender","EC-RUC-1160001720001-4092","UNIVERSIDAD NACIONAL DE LOJA","es","2025-07-23T12:08:32-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-TRANSCOM-2025-02-598062","RE-PU-TRANSCOM-2025-02-598062-2025-07-08T17:48:28.121Z-compiled","tender","EC-RUC-1660018380001-598062","EMPRESA PUBLICA DE LA MANCOMUNIDAD DE TRANSITO TRANSPORTE TERRESTRE Y SEGURIDAD VIAL DE LA PROVINCIA DE PASTAZA","es","2025-07-08T12:55:19-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-ESPOCH-2025-06-53390","RE-PU-ESPOCH-2025-06-53390-2025-08-12T22:32:53.396Z-compiled","tender","EC-RUC-0660001250001-53390","ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO","es","2025-08-12T18:24:11-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-DGAC-2025-001-2449","RE-PU-DGAC-2025-001-2449-2025-08-22T18:41:12.238Z-compiled","tender","EC-RUC-1768014410001-2449","DIRECCION GENERAL DE AVIACION CIVIL","es","2025-08-22T13:48:55-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CNELEP-2025-8-462114","RE-PU-CNELEP-2025-8-462114-2025-09-02T19:08:22.021Z-compiled","tender","EC-RUC-0968599020001-462114","EMPRESA ELÉCTRICA PÚBLICA ESTRATÉGICA CORPORACIÓN NACIONAL DE ELECTRICIDAD CNEL EP","es","2025-09-02T14:15:30-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HCAM-2025-020-54651","RE-PU-HCAM-2025-020-54651-2025-10-16T19:58:55.196Z-compiled","tender","EC-RUC-1768046450001-54651","HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN","es","2025-10-16T15:12:30-05:00","[""planning"",""tender"",""award"",""contract"",""implementation""]"
"ocds-5wno2w-RE-PU-CNELEP-2025-9-462114","RE-PU-CNELEP-2025-9-462114-2025-07-15T17:02:15.304Z-compiled","tender","EC-RUC-0968599020001-462114","EMPRESA ELÉCTRICA PÚBLICA ESTRATÉGICA CORPORACIÓN NACIONAL DE ELECTRICIDAD CNEL EP","es","2025-07-15T12:05:05-05:00","[""planning"",""tender""]"
"ocds-5wno2w-RE-PU-CZS3-2025-001-440879","RE-PU-CZS3-2025-001-440879-2025-07-22T17:04:45.611Z-compiled","tender","EC-RUC-0660837720001-440879","COORDINACION ZONAL 3 - SALUD","es","2025-07-22T12:11:50-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EMAPAG-EP-2025-26-439831","RE-PU-EMAPAG-EP-2025-26-439831-2025-06-26T16:27:35.960Z-compiled","tender","EC-RUC-0968595970001-439831","EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE GUAYAQUIL EP - EMAPAG EP","es","2025-06-26T11:34:21-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-DIGMAT-2025-005-2465","RE-PU-DIGMAT-2025-005-2465-2025-08-12T22:33:01.282Z-compiled","tender","EC-RUC-1768011230001-2465","DIGMAT","es","2025-08-12T18:23:52-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-ESPOCH-2025-07-53390","RE-PU-ESPOCH-2025-07-53390-2025-08-12T22:32:58.360Z-compiled","tender","EC-RUC-0660001250001-53390","ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO","es","2025-08-12T18:24:12-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EPP-2025-007-253178","RE-PU-EPP-2025-007-253178-2025-08-21T18:41:31.414Z-compiled","tender","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","es","2025-08-21T13:48:46-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-EPP-2025-006-253178","RE-PU-EPP-2025-006-253178-2025-09-26T18:54:28.929Z-compiled","tender","EC-RUC-1768153530001-253178","Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR","es","2025-09-26T14:01:53-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-MDI-2025-001-1088807","RE-PU-MDI-2025-001-1088807-2025-07-16T16:57:24.185Z-compiled","tender","EC-RUC-1798194735001-1088807","MINISTERIO DEL INTERIOR","es","2025-07-16T12:03:59-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-HEEE-2025-008-52558","RE-PU-HEEE-2025-008-52558-2025-07-19T17:16:48.356Z-compiled","tender","EC-RUC-1768033980001-52558","Hospital Eugenio Espejo","es","2025-07-19T12:22:38-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-SNAI-2025-004-931020","RE-PU-SNAI-2025-004-931020-2025-08-12T22:33:00.296Z-compiled","tender","EC-RUC-1768192000001-931020","SERVICIO NACIONAL DE ATENCIÓN INTEGRAL A PERSONAS ADULTAS PRIVADAS DE LA LIBERTAD Y A ADOLESCENTES INFRACTORES","es","2025-08-12T18:25:10-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-PU-CONGOPE-2025-007-69008","RE-PU-CONGOPE-2025-007-69008-2025-08-30T19:01:52.589Z-compiled","tender","EC-RUC-1760005110001-69008","CONSORCIO DE GOBIERNOS AUTONOMOS PROVINCIALES DEL ECUADOR","es","2025-08-30T14:13:12-05:00","[""planning"",""tender"",""award"",""contract"",""implementation""]"
