"ocid","id","rationale","budget_id","budget_description","budget_amount","budget_currency"
"ocds-5wno2w-RE-PU-GADMSFD-2025-001-2452","RE-PU-GADMSFD-2025-001-2452-2025-09-30T19:02:58.117Z-compiled","ADQUISICION DE REPUESTOS INCLUYE SERVICIOS DE MANO DE OBRA PARA EL MANTENIMIENTO PREVENTIVO DE LAS CAMIONETAS CHEVROLET NUEVAS, DESDE LOS 5000 KM HASTA LOS 100000 KM?.","3.6.1.7.3.08.13","","14365.50","USD"
"ocds-5wno2w-RE-PU-UPEC-2025-006-24327","RE-PU-UPEC-2025-006-24327-2025-07-12T17:13:43.865Z-compiled","SUSCRIPCIÓN ANUAL A PLATAFORMA DE LIBROS DIGITALES E LIBRO PARA LA BIBLIOTECA LUCIANO CORAL DE LA UNIVERSIDAD POLITÉCNICA ESTATAL DEL CARCHI","2025.233.0000.0000.01.00.000.001.000.0401.530702.000000.003.0000.0000-","","8300.00","USD"
"ocds-5wno2w-RE-PU-CGFT-2025-3-2562","RE-PU-CGFT-2025-3-2562-2025-06-28T16:38:59.224Z-compiled","PRESTACIÓN DEL SERVICIO DE ACTUALIZACIÓN DE LICENCIAS ORACLE STANDARD EDITION 2 DE LA FUERZA TERRESTRE","2025.070.1999.0000.55.00.000.001.000.1701.530702.000000.001.0000.0000-","","9533.70","USD"
"ocds-5wno2w-RE-PU-MSR-2025-00001-318303","RE-PU-MSR-2025-00001-318303-2025-06-13T16:14:31.449Z-compiled","Contratar el ?MANTENIMIENTO, SOPORTE DEL SOFTWARE Y ARRENDAMIENTO DE UN SERVIDOR PRECONFIGURADO PARA EL SISTEMA ADMINISTRATIVO FINANCIERO CG/WEB?, para mantener alojado y operativo el sistema en las diferentes dependencias de Misión Social Rumiñahui.","530701-530702","","7968.00","USD"
"ocds-5wno2w-RE-PU-SRI-2025-00004-2438","RE-PU-SRI-2025-00004-2438-2025-08-12T22:32:39.076Z-compiled","DN Renovación de garantías de equipos procesamiento base de datos","2025.135.0000.0000.01.00.000.001.000.1701.530704.000000.001.0000.0000-","","190000.00","USD"
"ocds-5wno2w-RE-PU-GADMY-2025-003-38149","RE-PU-GADMY-2025-003-38149-2025-08-20T18:18:27.451Z-compiled","RENOVACIÓN DE LA ACTUALIZACIÓN ANUAL DEL SISTEMA INFORMÁTICO DE GESTIÓN MUNICIPAL Y CUENTA ÚNICA DEL GADMY DENOMINADO SEYCOB + HOSTING, CORREOS Y DOMINIOS","5.3.07.02","","4428.57","USD"
"ocds-5wno2w-RE-PU-UTMACH-2025-002-60177","RE-PU-UTMACH-2025-002-60177-2025-06-30T16:30:15.179Z-compiled","SUSCRIPCIÓN DE LA BASE DE DATOS E-LIBRO PARA LA BIBLIOTECA GENERAL DE LA UNIVERSIDAD TÉCNICA DE MACHALA.","2025.164.0000.0000.01.00.000.001.000.0701.530204.000000.002.7001.0007-","","17801.63","USD"
"ocds-5wno2w-RE-PU-SZI-2025-001-179005","RE-PU-SZI-2025-001-179005-2025-07-05T17:46:22.166Z-compiled","CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS VEHICULOS MARCA CHEVROLET DE LA SUBZONA IMBABURA POR PERIODO DE VIGENCIA TECNOLOGICA Y GARANTIA TECNICA","2025.052.0017.0000.01.00.000.001.000.1001.530301.000000.001.0000.0000-","","50047.52","USD"
"ocds-5wno2w-RE-PU-UNACH-2025-006-124774","RE-PU-UNACH-2025-006-124774-2025-07-04T16:43:21.410Z-compiled","CONTRATACION DE ACCESO Y USO A LA BASE DE DATOS DENTISTRY YORAL SCIENCES SOURCE PARA ACTIVIDADES ACADEMICAS Y DEINVESTIGACION DE LA UNIVERSIDAD NACIONAL DE CHIMBORAZO AÑO 2025","2025.180.0000.0000.82.00.000.003.000.0601.530702.000000.001.0000.0000-","","9450.00","USD"
"ocds-5wno2w-RE-PU-CCQAHDCL-2025-001-2708","RE-PU-CCQAHDCL-2025-001-2708-2025-07-04T16:46:11.709Z-compiled","CONTRATACIÓN DEL MANTENIMIENTO PREVENTIVO/CORRECTIVO INCLUÍDO REPUESTOS Y ACCESORIOS PARA LOS EQUIPOS DE LAS ÁREAS DE QUIRÓFANO, EMERGENCIA Y GASTROENTEROLOGÍA DEL CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL LOJA","530813","","22638.41","USD"
"ocds-5wno2w-RE-PU-CRCG-2025-002-97147","RE-PU-CRCG-2025-002-97147-2025-08-12T22:32:44.597Z-compiled","ADQUISICIÓN DE IMPRESORAS MARCA FARGO PARA LA EMISIÓN DE DOCUMENTOS DE IDENTIDAD","840107","","84600.00","USD"
"ocds-5wno2w-RE-PU-HEP-2025-00005-889479","RE-PU-HEP-2025-00005-889479-2025-09-19T19:46:51.973Z-compiled","ADQUISICIÓN DEL MEDICAMENTO PEMBROLIZUMAB LIQUIDO PARENTERAL 25MG/ML X4ML, PARA BRINDAR TRATAMIENTO A LOS PACIENTES CON MELANOMA AVANZADO IRRESECABLE O METASTÁSICO ATENDIDOS EN EL HOSPITAL DE ESPECIALIDADES PORTOVIEJO","2025.320.9004.0000.58.00.000.005.000.1301.530809.000000.003.0000.0000-","","367200.00","USD"
"ocds-5wno2w-RE-PU-HOSNAE-2025-001-2618","RE-PU-HOSNAE-2025-001-2618-2025-07-08T17:48:30.904Z-compiled","SERVICIO DE MANTENIMIENTO CORRECTIVO PARA LA AMBULANCIA DEL HOSPITAL NAVAL DE ESMERALDAS","2025.070.3047.0000.92.00.000.003.000.0801.530813.000000.002.0000.0000-","","6366.39","USD"
"ocds-5wno2w-RE-PU-HEP-2025-00006-889479","RE-PU-HEP-2025-00006-889479-2025-09-10T20:08:15.073Z-compiled","ADQUISICIÓN DE LOS MEDICAMENTOS ALECTINIB SOLIDOORAL 150MG, PERTUZUMAB LIQUIDO PARENTERAL 30MG/ML X 14ML Y TRASTUZUMAB EMTANSINA SOLIDO PARENTERAL 100MG, PARA TRATAMIENTO ONCOLOGICO DE LOS PACIENTES ATENDIDOS EN EL HOSPITAL DE ESPECIALIDADES PORT","2025.320.9004.0000.58.00.000.005.000.1301.530809.000000.003.0000.0000-","","815476.20","USD"
